Time, C, R, AVG
0.0219, -1.450953E-07, -1.20587E-06, -6.843224E-07
0.022, -1.203969E-07, -1.166569E-06, -6.522013E-07
0.0221, -9.053132E-08, -1.12881E-06, -6.18323E-07
0.0222, -7.092449E-08, -1.10214E-06, -5.951257E-07
0.0223, -4.716707E-08, -1.09566E-06, -5.801508E-07
0.0224, -1.966878E-08, -1.105252E-06, -5.715068E-07
0.0225, -1.807027E-09, -1.123276E-06, -5.718873E-07
0.0226, -4.184155E-10, -1.142761E-06, -5.811095E-07
0.0227, -1.731642E-08, -1.166423E-06, -6.014454E-07
0.0228, -5.142364E-08, -1.196359E-06, -6.334323E-07
0.0229, -9.012172E-08, -1.238888E-06, -6.740781E-07
0.023, -1.186748E-07, -1.282497E-06, -7.102842E-07
0.0231, -1.338122E-07, -1.310311E-06, -7.31866E-07
0.0232, -1.552552E-07, -1.32874E-06, -7.517764E-07
0.0233, -1.880571E-07, -1.34264E-06, -7.7497E-07
0.0234, -2.20738E-07, -1.367321E-06, -8.035844E-07
0.0235, -2.536918E-07, -1.392332E-06, -8.325008E-07
0.0236, -2.747329E-07, -1.423266E-06, -8.585707E-07
0.0237, -2.944612E-07, -1.453341E-06, -8.835587E-07
0.0238, -3.031187E-07, -1.494506E-06, -9.087407E-07
0.0239, -2.948632E-07, -1.530878E-06, -9.231709E-07
0.024, -2.766672E-07, -1.550738E-06, -9.243199E-07
0.0241, -2.557023E-07, -1.55142E-06, -9.14359E-07
0.0242, -2.39988E-07, -1.543634E-06, -9.026745E-07
0.0243, -2.210264E-07, -1.541292E-06, -8.921616E-07
0.0244, -2.078235E-07, -1.535076E-06, -8.825104E-07
0.0245, -2.026714E-07, -1.514681E-06, -8.696098E-07
0.0246, -2.086506E-07, -1.478551E-06, -8.541834E-07
0.0247, -2.151837E-07, -1.433725E-06, -8.346087E-07
0.0248, -2.124447E-07, -1.39802E-06, -8.151122E-07
0.0249, -2.000993E-07, -1.37601E-06, -7.978541E-07
0.025, -1.711213E-07, -1.349502E-06, -7.701314E-07
0.0251, -1.391156E-07, -1.30993E-06, -7.342794E-07
0.0252, -1.155629E-07, -1.245978E-06, -6.901903E-07
0.0253, -9.786068E-08, -1.187772E-06, -6.518988E-07
0.0254, -8.774625E-08, -1.142857E-06, -6.240942E-07
0.0255, -8.067471E-08, -1.124502E-06, -6.112869E-07
0.0256, -9.009879E-08, -1.119519E-06, -6.133873E-07
0.0257, -1.012911E-07, -1.115901E-06, -6.17051E-07
0.0258, -9.871886E-08, -1.102977E-06, -6.092166E-07
0.0259, -7.952931E-08, -1.08195E-06, -5.890934E-07
0.026, -6.505137E-08, -1.062619E-06, -5.721485E-07
0.0261, -5.945903E-08, -1.049673E-06, -5.62818E-07
0.0262, -4.684071E-08, -1.042709E-06, -5.530736E-07
0.0263, -2.38879E-08, -1.038474E-06, -5.396358E-07
0.0264, -1.431978E-08, -1.041564E-06, -5.365021E-07
0.0265, -3.27579E-08, -1.053578E-06, -5.516746E-07
0.0266, -5.041459E-08, -1.050128E-06, -5.586024E-07
0.0267, -5.011858E-08, -1.033014E-06, -5.497569E-07
0.0268, -3.460178E-08, -1.003819E-06, -5.272873E-07
0.0269, -3.641537E-08, -9.85156E-07, -5.186919E-07
0.027, -4.782763E-08, -9.73186E-07, -5.182181E-07
0.0271, -4.363136E-08, -9.663754E-07, -5.126929E-07
0.0272, -1.079125E-08, -9.591464E-07, -4.928718E-07
0.0273, 2.349081E-08, -9.465012E-07, -4.695885E-07
0.0274, 3.530506E-08, -9.315444E-07, -4.561767E-07
0.0275, 3.315006E-08, -9.173434E-07, -4.500175E-07
0.0276, 4.648911E-08, -9.133291E-07, -4.414185E-07
0.0277, 7.171073E-08, -9.06724E-07, -4.256603E-07
0.0278, 8.740224E-08, -9.097697E-07, -4.194935E-07
0.0279, 8.637806E-08, -9.245578E-07, -4.275143E-07
0.028, 1.029578E-07, -9.569522E-07, -4.358298E-07
0.0281, 1.370425E-07, -9.951812E-07, -4.385046E-07
0.0282, 1.637666E-07, -1.03297E-06, -4.445744E-07
0.0283, 1.643582E-07, -1.069173E-06, -4.626869E-07
0.0284, 1.505105E-07, -1.112862E-06, -4.917041E-07
0.0285, 1.470656E-07, -1.145558E-06, -5.10018E-07
0.0286, 1.454113E-07, -1.173373E-06, -5.249706E-07
0.0287, 1.464049E-07, -1.188418E-06, -5.321299E-07
0.0288, 1.527028E-07, -1.207059E-06, -5.385094E-07
0.0289, 1.621952E-07, -1.213862E-06, -5.373005E-07
