time	8kHz80dB	8kHz70dB	8kHz60dB	8kHz55dB	8kHz50dB	8kHz50dB	8kHz45dB	8kHz45dB	8kHz40dB	8kHz40dB	8kHz35dB	8kHz35dB	8kHz30dB	8kHz30dB
0.00282625	0.042736	-0.0306275	0.551942	0.0582574	0.242245	-0.108114	0.177998	-0.180003	0.0420338	0.0374114	0.118967	0.225623	-0.423018	-0.235701
0.00286721	0.0428077	-0.0363267	0.553428	0.0472467	0.230819	-0.125402	0.186008	-0.189593	0.0717449	0.0796757	0.133016	0.239427	-0.44541	-0.234368
0.00290817	0.0386942	-0.0401917	0.53655	0.05486	0.225049	-0.143981	0.183321	-0.205381	0.100033	0.110467	0.133563	0.255794	-0.453642	-0.218885
0.00294913	0.0397257	-0.0474812	0.506839	0.0786549	0.222222	-0.161077	0.175516	-0.221033	0.125907	0.12273	0.121581	0.272008	-0.451724	-0.191779
0.00299009	0.0544403	-0.0627265	0.478044	0.107997	0.218578	-0.177946	0.165948	-0.231566	0.14761	0.121695	0.0998401	0.281541	-0.445925	-0.159667
0.00303105	0.0823042	-0.0853504	0.464522	0.132265	0.209399	-0.197118	0.155488	-0.232018	0.163594	0.1186	0.0732914	0.279714	-0.440692	-0.127773
0.00307201	0.116081	-0.110302	0.475606	0.144464	0.19337	-0.219047	0.145244	-0.218986	0.173491	0.120783	0.0464044	0.267985	-0.438198	-0.0988847
0.00311297	0.1466	-0.130199	0.511507	0.145315	0.176293	-0.242278	0.139443	-0.19468	0.173918	0.126561	0.0236682	0.253702	-0.440395	-0.0738376
0.00315393	0.165639	-0.139105	0.561693	0.142156	0.164325	-0.262877	0.146038	-0.166976	0.159674	0.129156	0.010442	0.246046	-0.447855	-0.0527785
0.00319489	0.173139	-0.135781	0.608706	0.143187	0.156656	-0.276583	0.168462	-0.147166	0.131354	0.125244	0.0103095	0.248774	-0.458529	-0.0369085
0.00323585	0.17691	-0.125335	0.638057	0.151567	0.146307	-0.282727	0.200414	-0.142326	0.0979342	0.11779	0.0214715	0.257035	-0.46927	-0.0274994
0.00327681	0.186779	-0.114697	0.646698	0.165217	0.127634	-0.280938	0.228299	-0.1504	0.0726354	0.111932	0.0396199	0.261175	-0.477231	-0.0277195
0.00331777	0.207908	-0.106231	0.642126	0.179146	0.100827	-0.268302	0.239961	-0.165829	0.0640831	0.111945	0.059069	0.255785	-0.478695	-0.043986
0.00335873	0.235951	-0.0992166	0.633333	0.18836	0.0736756	-0.244435	0.230331	-0.186475	0.0681726	0.120729	0.072907	0.240115	-0.47408	-0.0797854
0.00339969	0.259738	-0.0950269	0.625778	0.190979	0.0578233	-0.213904	0.206388	-0.211161	0.0736454	0.138602	0.0756976	0.212986	-0.469666	-0.131342
0.00344065	0.270195	-0.0958227	0.619635	0.189624	0.0621637	-0.180927	0.182232	-0.236977	0.0736254	0.161212	0.0666907	0.174094	-0.471365	-0.186332
0.00348161	0.264021	-0.101822	0.609474	0.190607	0.0903107	-0.147345	0.168146	-0.263076	0.0687049	0.180653	0.0505634	0.125277	-0.481388	-0.227051
0.00352257	0.245993	-0.110007	0.588999	0.197771	0.125824	-0.113346	0.164682	-0.291238	0.063069	0.191789	0.035406	0.0736431	-0.494159	-0.24265
0.00356353	0.228723	-0.113095	0.560205	0.207732	0.146815	-0.0787224	0.167962	-0.322039	0.0588983	0.195827	0.0285446	0.0286245	-0.498806	-0.234807
0.00360449	0.225043	-0.104162	0.53436	0.212681	0.137709	-0.0461783	0.17616	-0.349239	0.0531396	0.196085	0.0350685	-0.00185077	-0.492053	-0.212436
0.00364545	0.240944	-0.0856342	0.522971	0.205785	0.100288	-0.0214976	0.190433	-0.362945	0.0380273	0.194216	0.0509505	-0.012397	-0.478471	-0.186037
0.00368641	0.274379	-0.0670129	0.52726	0.185753	0.0546424	-0.00600703	0.208279	-0.357832	0.00955548	0.193072	0.0627744	-0.00288395	-0.464411	-0.163029
0.00372737	0.316817	-0.0572185	0.540328	0.158639	0.0258467	0.00263232	0.221466	-0.33508	-0.0269592	0.196053	0.0607554	0.0221588	-0.452811	-0.14657
0.00376833	0.354155	-0.0601806	0.550585	0.1342	0.0253761	0.00764733	0.221701	-0.301698	-0.0626714	0.204067	0.0475299	0.0564092	-0.442064	-0.139066
0.00380929	0.374211	-0.0727498	0.549843	0.116361	0.0431043	0.015536	0.206057	-0.268396	-0.0908039	0.216675	0.0309336	0.0914239	-0.427414	-0.141264
0.00385025	0.378269	-0.086947	0.53826	0.103296	0.059686	0.0330455	0.177379	-0.244651	-0.105703	0.230027	0.0168372	0.116945	-0.405415	-0.150947
0.00389121	0.376486	-0.0955671	0.525217	0.0943994	0.0614361	0.0569568	0.143373	-0.234075	-0.102972	0.236257	0.0093344	0.127489	-0.377671	-0.164686
0.00393217	0.375385	-0.0946195	0.520793	0.0896166	0.0451766	0.0755363	0.114893	-0.231233	-0.0812198	0.228911	0.00701536	0.125737	-0.348708	-0.177293
0.00397313	0.373158	-0.0865638	0.524191	0.087537	0.0186498	0.0778418	0.100562	-0.227131	-0.0461415	0.207771	0.0032601	0.11967	-0.320518	-0.183113
0.00401409	0.364648	-0.0777401	0.527423	0.0846597	-0.00705058	0.0629158	0.100241	-0.216319	-0.0112822	0.176854	-0.0072507	0.118787	-0.29475	-0.179525
0.00405505	0.344827	-0.0706369	0.521635	0.0761281	-0.0261929	0.0414509	0.105435	-0.195625	0.0115962	0.142509	-0.025873	0.129049	-0.274297	-0.169818
0.00409601	0.315183	-0.0625853	0.500885	0.0558348	-0.0397278	0.0264235	0.107565	-0.162882	0.0194267	0.114715	-0.0486915	0.147349	-0.261268	-0.158222
0.00413697	0.283644	-0.0528594	0.467359	0.0210197	-0.0514841	0.0226267	0.103719	-0.120115	0.0172549	0.101864	-0.0677894	0.159055	-0.255881	-0.14331
0.00417793	0.2626	-0.0473536	0.42947	-0.02588	-0.0657188	0.0249805	0.0962343	-0.0749386	0.014353	0.103893	-0.0768796	0.150333	-0.253656	-0.119086
0.00421889	0.264095	-0.0530143	0.393968	-0.0755354	-0.0858959	0.0244069	0.0895626	-0.0375603	0.0189294	0.115478	-0.0720062	0.12132	-0.247571	-0.0835757
0.00425985	0.287989	-0.0697386	0.36487	-0.114725	-0.108161	0.016422	0.0868058	-0.015602	0.0342536	0.131003	-0.0512047	0.0836171	-0.232861	-0.0435515
0.00430081	0.319263	-0.0879054	0.344134	-0.133333	-0.121499	0.00486344	0.0853361	-0.0075356	0.0576168	0.144822	-0.0159195	0.0464636	-0.207092	-0.00897155
0.00434177	0.339712	-0.0979696	0.325745	-0.130751	-0.118665	-0.00586144	0.0791713	-0.00164778	0.0829256	0.152633	0.0260755	0.0116208	-0.171283	0.0140611
0.00438273	0.343775	-0.098089	0.30025	-0.117237	-0.101631	-0.0159667	0.0643111	0.0141494	0.102877	0.152978	0.0662542	-0.0229409	-0.128096	0.0247905
0.00442369	0.342484	-0.0926768	0.26817	-0.104386	-0.0803327	-0.0294493	0.0405769	0.0431367	0.110339	0.150447	0.100496	-0.0582784	-0.0801801	0.0229474
0.00446465	0.350961	-0.0862581	0.240219	-0.0965103	-0.0675713	-0.047323	0.0128305	0.0791657	0.100042	0.150515	0.128836	-0.0907026	-0.0325023	0.00675969
0.00450561	0.372	-0.0814919	0.222286	-0.0930075	-0.069475	-0.0655244	-0.00969778	0.109461	0.0722087	0.15388	0.150617	-0.11578	0.00361194	-0.0229156
0.00454657	0.392439	-0.077067	0.208527	-0.092339	-0.0817057	-0.0788097	-0.0195683	0.120362	0.0370358	0.157709	0.161433	-0.132013	0.0159528	-0.0587315
0.00458753	0.395357	-0.0680913	0.191266	-0.0907462	-0.0964396	-0.0838184	-0.0167914	0.108373	0.0122488	0.157978	0.155803	-0.138658	0.00423092	-0.090562
0.00462849	0.374218	-0.050032	0.171571	-0.083643	-0.108235	-0.0771978	-0.003773	0.0854831	0.0096974	0.152611	0.132447	-0.136325	-0.0162495	-0.112317
0.00466945	0.338176	-0.0221465	0.154434	-0.0725062	-0.114946	-0.0591476	0.0171569	0.0706028	0.0268749	0.142324	0.100031	-0.129484	-0.0259545	-0.12242
0.00471041	0.305282	0.0121347	0.143984	-0.0664236	-0.116713	-0.0343017	0.04041	0.0747657	0.0489353	0.130769	0.0739251	-0.127062	-0.0153947	-0.119147
0.00475137	0.290279	0.0451101	0.14313	-0.0720106	-0.11265	-0.00928499	0.0600801	0.0974771	0.0597086	0.121273	0.0638912	-0.138418	0.00965193	-0.101303
0.00479233	0.295911	0.0673247	0.149098	-0.0885644	-0.101508	0.0120801	0.0734467	0.13197	0.0542091	0.115658	0.0670856	-0.168525	0.034391	-0.0688396
